numreviews,rating,title,types
54,4.5,The Art of the Brick by Nathan Sawaya,Sights & Landmarks Points of Interest & Landmarks
22,4.5,"Banksy's ""Hammer Boy""",Museums Shopping
102,4,MetLife Building,Sights & Landmarks Architectural Buildings
61,4.5,Mount Vernon Hotel Museum & Garden,Museums Sights & Landmarks
83,4.5,Bernard B. Jacobs Theatre,Concerts & Shows Theaters
102,4.5,ABC Carpet & Home,Shopping Department Stores
32,4,St. Patrick’s Day Parade New York City,Events Cultural Events
96,4.5,Joyce Theater,Concerts & Shows Theaters
47,4,Gracie Mansion,Sights & Landmarks Historic Sites
56,4.5,Hudson River Greenway,Nature & Parks Outdoor Activities
63,4.5,Bethesda Terrace,Sights & Landmarks Architectural Buildings
38,4,New York International Auto Show,Events Exhibitions
65,4.5,Trinity Church Cemetery & Mausoleum,Sights & Landmarks Cemeteries
180,4.5,Barrymore Theatre,Concerts & Shows Theaters
152,4,Broadhurst Theatre,Concerts & Shows Theaters
25,5,Grand Masonic Lodge of New York,Sights & Landmarks Historic Sites
255,4,H&M,Shopping Department Stores
51,4.5,Central Synagogue,Sights & Landmarks Points of Interest & Landmarks
95,4.5,The Public Theater,Concerts & Shows Theaters
42,4.5,Stage 42,Concerts & Shows Theaters
47,4,Sixth Avenue (Avenue of the Americas),Sights & Landmarks Points of Interest & Landmarks
102,4.5,Shakespeare Garden,Nature & Parks Gardens
82,4.5,Central Park's Literary Walk,Sights & Landmarks Historic Walking Areas
92,4,Red Cube,Sights & Landmarks Points of Interest & Landmarks
56,4.5,The Juilliard School,Sights & Landmarks Universities & Schools
135,4.5,Jacqueline Kennedy Onassis Reservoir,Nature & Parks Bodies of Water
32,5,Holographic Studios,Sights & Landmarks Points of Interest & Landmarks
38,4,Canaan Baptist Church of Christ,Sights & Landmarks Churches & Cathedrals
314,4,Trump Rink in Central Park,Fun & Games Sports Complexes
126,4.5,American Airlines Theater,Concerts & Shows Theaters
82,4,Seventh Avenue,Sights & Landmarks Points of Interest & Landmarks
30,4.5,The Ramble,Nature & Parks Gardens
43,4,Astor Place Theatre,Concerts & Shows Theaters
109,4,Chelsea Flea Market,Shopping Flea & Street Markets
72,4.5,Grace Church,Sights & Landmarks Sacred & Religious Sites
50,4,Chelsea Hotel,Sights & Landmarks Historic Sites
64,4.5,Park Avenue Armory,Traveler Resources Conference & Convention Centers
58,4.5,The Pershing Square Signature Center,Concerts & Shows Theaters
271,3,Abyssinian Baptist Church,Sights & Landmarks Sacred & Religious Sites
47,4,Daily News Building,Sights & Landmarks Architectural Buildings
89,3,Snark Park,Museums Children's Museums
60,4.5,Essex Street Market,Shopping Flea & Street Markets
94,4.5,Kinokuniya Book Stores of America,Sights & Landmarks Points of Interest & Landmarks
61,4.5,Artists & Fleas at Chelsea Market,Shopping Flea & Street Markets
188,4,American Folk Art Museum,Museums Art Museums
173,3.5,Skyscraper Museum,Museums Sights & Landmarks
38,4.5,David Geffen Hall,Concerts & Shows Theaters
63,4.5,Lincoln Square,Sights & Landmarks Neighborhoods
95,4,Morris-Jumel Mansion,Museums Specialty Museums
129,4,Museum of the American Gangster,Museums Specialty Museums
192,3.5,Castle Clinton National Monument,Sights & Landmarks Monuments & Statues
93,4,The Municipal Building,Sights & Landmarks Government Buildings
74,4,Helen Hayes Theatre,Concerts & Shows Theaters
50,3.5,T.J. Maxx,Shopping Department Stores
14,4.5,Rose Mansion,Museums Specialty Museums
29,4.5,Gagosian Gallery,Museums Shopping
71,4.5,New York Public Library for the Performing Arts,Traveler Resources Sights & Landmarks
22,3.5,Candytopia,Museums Specialty Museums
18,5,Church of Saint Joseph of the Holy Family,Sights & Landmarks Churches & Cathedrals
27,4.5,Sotheby's,Shopping Museums
144,4,Museum of American Finance,Museums Specialty Museums
24,4.5,Agora Gallery,Museums Shopping
22,4.5,New York Yacht Club,Sights & Landmarks Piers & Boardwalks
76,4,South Street Seaport Museum,Museums Specialty Museums
49,4,The Sphere,Sights & Landmarks Monuments & Statues
66,4,New York City Criminal Court,Sights & Landmarks Government Buildings
66,3.5,Lincoln Tunnel,Sights & Landmarks Bridges
33,4,Stonewall National Monument,Sights & Landmarks Historic Walking Areas
19,4.5,Fred F. French Building,Sights & Landmarks Architectural Buildings
35,4.5,Helmsley Building,Sights & Landmarks Points of Interest & Landmarks
61,4.5,Delacorte Theater,Concerts & Shows Theaters
43,4.5,The High Bridge,Sights & Landmarks Points of Interest & Landmarks
66,4.5,Golden Theatre,Concerts & Shows Theaters
102,4,New York University,Sights & Landmarks Educational sites
48,4,Ghostbusters Building,Sights & Landmarks Points of Interest & Landmarks
61,4.5,United States Custom House,Sights & Landmarks Points of Interest & Landmarks
99,4,James A. Farley Post Office,Sights & Landmarks Historic Sites
99,4,Gramercy Park,Nature & Parks State Parks
37,4.5,Barrow Street Theatre,Concerts & Shows Theaters
31,3,Museum of Sex,Museums Specialty Museums
33,4.5,The Armory (Track),Traveler Resources Fun & Games
13,4.5,The Green Room 42,Concerts & Shows Cabarets
9,4,New York City Wine & Food Festival,Events Food & Drink Festivals
36,4.5,Swedish Cottage Marionette Theatre,Concerts & Shows Theaters
48,4,Antioch Baptist Church,Sights & Landmarks Sacred & Religious Sites
42,4,Channel Gardens,Nature & Parks Gardens
77,4,PlayStation Theater,Concerts & Shows Theaters
42,4,Seagram Building,Sights & Landmarks Architectural Buildings
16,4,Joey Ramone Place,Sights & Landmarks Points of Interest & Landmarks
42,4.5,Cherry Lane Theatre,Concerts & Shows Theaters
35,4.5,Elizabeth Street Garden,Sights & Landmarks Points of Interest & Landmarks
57,4.5,Irish Repertory Theatre,Concerts & Shows Theaters
32,4.5,Church of St. Francis of Assisi,Sights & Landmarks Churches & Cathedrals
33,4.5,New York Public Library - Bloomingdale Library,Traveler Resources Libraries
172,3.5,The Annex / Hell's Kitchen Flea Market,Shopping Flea & Street Markets
32,4.5,Urbanspace - Broadway Bites,Shopping Flea & Street Markets
22,4.5,Gapstow Bridge,Sights & Landmarks Bridges
70,4,34th Street,Sights & Landmarks Neighborhoods
63,4,Paley Center for Media,Museums Specialty Museums
53,3.5,Times Square Countdown,Events Cultural Events
128,3.5,NY Waterway,Transportation Ferries
22,4.5,New York Comic-Con,Events Cultural Events
75,4.5,Hans Christian Andersen Statue,Sights & Landmarks Points of Interest & Landmarks
44,4,Bowery,Sights & Landmarks Neighborhoods
9,4,William Tecumseh Sherman Monument,Sights & Landmarks Monuments & Statues
24,4,Shrine of St. Elizabeth Ann Bayley Seton,Sights & Landmarks Sacred & Religious Sites
13,4.5,Highbridge Park,Nature & Parks Fun & Games
10,3.5,Elevated Acre,Nature & Parks Gardens
5,5,"Machpelah Cemetery, site of Houdini's grave",Sights & Landmarks Monuments & Statues
15,2,MoPi - Museum of Pizza,Museums Specialty Museums
15,4.5,St. Mark's-in-the-Bowery Church,Sights & Landmarks Sacred & Religious Sites
9,5,Double Check,Sights & Landmarks Monuments & Statues
8,4.5,Katharine Hepburn Garden,Sights & Landmarks Points of Interest & Landmarks
12,4,Ninth Avenue International Food Festival,Events Food & Drink Festivals
7,4.5,Cunard Building,Sights & Landmarks Points of Interest & Landmarks
11,4,Electric Zoo,Events Music Festivals
18,3.5,Holland Tunnel,Sights & Landmarks Points of Interest & Landmarks
15,4.5,Wagner Cove,Sights & Landmarks Scenic Walking Areas
39,4.5,Manhattan Theatre Club (MTC),Concerts & Shows Theaters
29,3,Hester Street Fair,Shopping Flea & Street Markets
27,3.5,St. Luke's Theatre,Concerts & Shows Theaters
26,4,Jefferson Market Library,Traveler Resources Libraries
45,1,Queen of Hearts,Transportation Ferries
16,3,"Sadigh Gallery Ancient Art, Inc",Shopping Antique Stores
20,4,George M. Cohan Statue,Sights & Landmarks Monuments & Statues
15,4.5,Judd Foundation,Museums Specialty Museums
11,4.5,Union Square Metronome,Sights & Landmarks Points of Interest & Landmarks
9,4,The Governors Ball Music Festival,Events Music Festivals
15,4.5,Harlem Meer,Nature & Parks Bodies of Water
58,3.5,El Museo del Barrio,Museums Art Museums
24,4,Fifth Avenue Presbyterian Church,Sights & Landmarks Churches & Cathedrals
16,4.5,Tiffany Street Clock at 5th Ave.,Sights & Landmarks Monuments & Statues
32,4,Mother African Methodist Episcopal Zion Church,Sights & Landmarks Churches & Cathedrals
43,4,St. Peter's Church,Sights & Landmarks Churches & Cathedrals
40,4,The New York Earth Room,Sights & Landmarks Points of Interest & Landmarks
34,4.5,Pier 45,Sights & Landmarks Points of Interest & Landmarks
50,3.5,Malcolm Shabazz Harlem Market,Shopping Flea & Street Markets
22,4,United Palace,Concerts & Shows Sights & Landmarks
35,4,Scandinavia House,Museums Specialty Museums
27,4.5,Schomburg Center for Research in Black Culture,Sights & Landmarks Traveler Resources
31,4.5,Church of St. Paul the Apostle,Sights & Landmarks Churches & Cathedrals
12,4,Samsung 837,Traveler Resources Conference & Convention Centers
29,4,The National Jazz Museum in Harlem,Museums Specialty Museums
60,4,Victorian Gardens,Water & Amusement Parks Theme Parks
6,5,Dalmatian and Taxi Sculpture,Sights & Landmarks Points of Interest & Landmarks
60,4,Barney's,Shopping Department Stores
112,3.5,Titanic Memorial Park,Sights & Landmarks Points of Interest & Landmarks
171,4,City Hall Park Visitor Information Center,Traveler Resources Visitor Centers
40,4.5,Nicholas Roerich Museum,Museums Art Museums
32,4,Monumento General Jose de San Martin,Sights & Landmarks Monuments & Statues
134,4,Cort Theatre,Concerts & Shows Theaters
21,4,Ford Foundation Building,Sights & Landmarks Architectural Buildings
76,4,Town Hall,Sights & Landmarks Concerts & Shows
66,4,New York City Vietnam Veterans Memorial Plaza,Sights & Landmarks Monuments & Statues
15,4.5,David Zwirner Gallery,Museums Shopping
207,4,Algonquin Hotel,Sights & Landmarks Historic Sites
52,4,New York Transit Museum,Museums Specialty Museums
83,4,Obscura Antiques & Oddities,Shopping Antique Stores
44,4.5,New Victory Theater,Concerts & Shows Theaters
26,3.5,Foley Square,Sights & Landmarks Points of Interest & Landmarks
58,3.5,Greenflea Flea Market,Shopping Flea & Street Markets
21,4,Sony Hall,Concerts & Shows Theaters
54,4.5,The Mall,Sights & Landmarks Historic Walking Areas
11,4,Fulton Fish Market,Shopping Flea & Street Markets
37,2.5,Mount Neboh Baptist Church,Sights & Landmarks Sacred & Religious Sites
31,4.5,The Jefferson Market Garden,Nature & Parks Gardens
22,4.5,Minetta Lane Theatre,Concerts & Shows Theaters
14,4.5,East River Waterfront Esplanade,Nature & Parks Outdoor Activities
23,4.5,The Church of St. Ignatius Loyola,Sights & Landmarks Churches & Cathedrals
37,4,Pier 66 Maritime,Sights & Landmarks Points of Interest & Landmarks
43,4.5,59E59 Theaters,Concerts & Shows Theaters
28,4,The Pond,Nature & Parks Bodies of Water
15,5,GemsNY,Shopping Factory Outlets
23,4,Frank Gehry Building,Sights & Landmarks Points of Interest & Landmarks
58,4,Tudor City,Sights & Landmarks Neighborhoods
29,3.5,Orchard Street,Sights & Landmarks Points of Interest & Landmarks
26,4.5,Ladies Pavilion,Sights & Landmarks Points of Interest & Landmarks
25,4.5,Leslie-Lohman Museum of Gay and Lesbian Art,Museums Specialty Museums
23,3.5,Diamond District,Sights & Landmarks Points of Interest & Landmarks
79,4.5,Rose Center for Earth and Space,Museums Sights & Landmarks
22,3,Grand Bazaar NYC,Shopping Flea & Street Markets
16,4.5,Dave's New york,Shopping Factory Outlets
28,4,Mt Olivet Baptist Church,Sights & Landmarks Churches & Cathedrals
26,4.5,Riverside Drive,Sights & Landmarks Points of Interest & Landmarks
14,5,Church of Saint Vincent Ferrer,Sights & Landmarks Churches & Cathedrals
24,4,Orpheum Theatre,Concerts & Shows Theaters
17,4,Canal Street Market,Shopping Flea & Street Markets
12,5,The Museum of Interesting Things,Museums Science Museums
13,3.5,Graffiti Hall of Fame,Sights & Landmarks Points of Interest & Landmarks
18,4.5,Second Avenue Subway,Transportation Mass Transportation Systems
56,4,Conservatory Water,Nature & Parks Bodies of Water
39,4.5,American Merchant Marines Memorial,Sights & Landmarks Monuments & Statues
24,4,World Trade Center Transportation Hub,Sights & Landmarks Points of Interest & Landmarks
7,4.5,Mmuseumm,Sights & Landmarks Points of Interest & Landmarks
40,3.5,Statue of Confucius,Sights & Landmarks Monuments & Statues
73,4.5,Church of Saint Mary the Virgin,Sights & Landmarks Sacred & Religious Sites
27,4,Metropolitan Life Insurance Tower,Sights & Landmarks Architectural Buildings
22,4,Hudson Street,Sights & Landmarks Points of Interest & Landmarks
13,5,Elmendorf Reformed Church,Sights & Landmarks Churches & Cathedrals
23,4.5,Saint Paul Chapel,Sights & Landmarks Churches & Cathedrals
26,4.5,Church of the Transfiguration,Sights & Landmarks Sacred & Religious Sites
28,4.5,American Standard Building,Sights & Landmarks Architectural Buildings
10,5,Rose Theater,Concerts & Shows Theaters
22,4,Salem United Methodist Church,Sights & Landmarks Churches & Cathedrals
28,4,Alphabet City,Sights & Landmarks Neighborhoods
76,3.5,Tom's Diner,Sights & Landmarks Points of Interest & Landmarks
63,4,Asia Society and Museum,Museums Art Museums
16,5,The National Arts Club,Shopping Museums
58,4.5,Society of Illustrators,Museums Specialty Museums
15,4.5,Library Way,Traveler Resources Sights & Landmarks
28,4.5,Rockaways,Sights & Landmarks Neighborhoods
16,4.5,Laura Pels Theater,Concerts & Shows Theaters
28,3.5,The American Kennel Club Museum of the Dog,Museums Specialty Museums
21,3.5,CBS Building,Sights & Landmarks Points of Interest & Landmarks
12,4,Korean War Veterans Memorial,Sights & Landmarks Monuments & Statues
18,4.5,Alice Tully Hall,Concerts & Shows Theaters
16,4,Alexander Hamilton Statue,Sights & Landmarks Monuments & Statues
9,4,The Art Students League of New York,Museums Shopping
15,3.5,75 1/2 Bedford Street,Sights & Landmarks Architectural Buildings
17,4.5,Carnegie Hill,Sights & Landmarks Neighborhoods
13,2,Marilyn Monroe's subway grate,Sights & Landmarks Points of Interest & Landmarks
48,4,Pearl River,Shopping Department Stores
10,5,The Appel Room,Concerts & Shows Theaters
20,4,St. John the Baptist Church,Sights & Landmarks Churches & Cathedrals
24,4,Group of Bears Statue,Sights & Landmarks Monuments & Statues
7,4.5,4 World Trade Center,Sights & Landmarks Points of Interest & Landmarks
13,4.5,Joan of Arc Memorial,Sights & Landmarks Monuments & Statues
15,4,Kirk Theatre,Concerts & Shows Theaters
26,4.5,Manhattan Waterfront Greenway,Outdoor Activities Nature & Parks
9,4.5,Asphalt Green,Classes & Workshops Outdoor Activities
14,3,Museum of Comic and Cartoon Art MOCCA NYC,Museums Art Museums
11,4.5,St. Vartan Armenian Cathedral,Sights & Landmarks Churches & Cathedrals
16,3.5,Bartman Statue,Sights & Landmarks Monuments & Statues
23,4.5,The Davenport Theatre,Concerts & Shows Theaters
6,4,Masjid Malcolm Shabazz Mosque,Sights & Landmarks Churches & Cathedrals
17,4.5,Center for Jewish History,Museums History Museums
8,4,Riverbank State Park,Fun & Games Sports Complexes
23,4,Daryl Roth Theatre,Concerts & Shows Theaters
25,4.5,Marble Collegiate Church,Sights & Landmarks Churches & Cathedrals
9,2.5,Mickey The True Original Exhibition,Museums History Museums
34,4,Nuyorican Poet's Cafe,Concerts & Shows Theaters
38,4,The Players Theatre,Concerts & Shows Theaters
3,4.5,Doris C. Freedman Plaza,Sights & Landmarks Scenic Walking Areas
2,1.5,The Marketplace at St Anthony's,Shopping Flea & Street Markets
2,5,Gladstone Gallery,Museums Shopping
5,5,Tribeca Art Factory,Shopping Museums
4,3.5,Rat Rock,Nature & Parks Geologic Formations
4,4,Judson Memorial Church,Sights & Landmarks Churches & Cathedrals
3,3,New York Mercantile Exchange,Sights & Landmarks Architectural Buildings
2,5,Cathedral Church of St. Thomas the Apostle,Sights & Landmarks Churches & Cathedrals
4,4.5,New York Buddhist Church,Sights & Landmarks Churches & Cathedrals
3,4,Dana Discovery Center,Sights & Landmarks Educational sites
10,4,St Andrew Church,Sights & Landmarks Churches & Cathedrals
12,3,Caywood Vineyards,Food & Drink Wineries & Vineyards
2,4,Globe Sculpture at Columbus Circle,Museums Art Museums
3,5,IGT Jewelry Shopping Mall,Shopping Shopping Malls
3,3.5,42nd Street Ballroom Sculpture,Sights & Landmarks Points of Interest & Landmarks
2,4,Tribeca Performing Arts Center,Concerts & Shows Theaters
9,3.5,Saint Sava Serbian Orthodox Cathedral,Sights & Landmarks Churches & Cathedrals
2,5,Mariners' Temple Baptist Church,Sights & Landmarks Historic Sites
1,5,NYC Barbershop Museum,Museums History Museums
3,3.5,Krause Gallery,Shopping Museums
2,4,Polish King Wladyslaw Jagiello Statue,Sights & Landmarks Monuments & Statues
3,3.5,Eleanor Roosevelt Memorial,Sights & Landmarks Monuments & Statues
4,4.5,Sperone Westwater,Shopping Museums
2,4.5,Immigrant Building,Sights & Landmarks Points of Interest & Landmarks
3,5,Poster House,Museums Art Museums
2,4.5,Howard Greenberg Gallery,Shopping Museums
1,5,St. George Ukrainian Catholic Church,Sights & Landmarks Churches & Cathedrals
10,4,Tribeca Film Festival,Events Cultural Events
13,4,Church of Saint Agnes,Sights & Landmarks Churches & Cathedrals
10,4,Turtle Pond,Nature & Parks Bodies of Water
14,4.5,Dag-Hammarskjold Plaza Greenmarket,Food & Drink Shopping
19,4.5,Roosevelt Island Historical Society Visitor Center Kiosk,Traveler Resources Visitor Centers
16,4.5,Italian American Museum,Museums Specialty Museums
34,3.5,Aqueduct Race Track,Fun & Games Casinos & Gambling
9,4,Ukrainian Institute of America,Museums Specialty Museums
66,4,The Studio Museum in Harlem,Museums Art Museums
12,4,American Irish Historical Society,Museums History Museums
9,4.5,Our Lady of Pompeii,Sights & Landmarks Churches & Cathedrals
6,5,Artists & Fleas,Shopping Flea & Street Markets
13,3,Citicorp Center,Sights & Landmarks Points of Interest & Landmarks
7,5,Kelly Temple,Sights & Landmarks Sacred & Religious Sites
16,4.5,Church of the Holy Trinity,Sights & Landmarks Churches & Cathedrals
7,4.5,Grey Art Gallery NYU,Museums Shopping
20,4,The Episcopal Church of The Heavenly Rest,Sights & Landmarks Churches & Cathedrals
25,4,Dyckman Farmhouse Museum,Sights & Landmarks Historic Sites
8,5,Shiloh Baptist Church,Sights & Landmarks Churches & Cathedrals
4,4.5,Fort Schuyler,Sights & Landmarks Historic Sites
19,2.5,Memorial Baptist Church,Sights & Landmarks Churches & Cathedrals
17,3.5,Jean Dubuffet - Group of Four Trees,Sights & Landmarks Points of Interest & Landmarks
8,4,Lever House,Museums Art Museums
20,4.5,Lucille Lortel Theatre,Concerts & Shows Theaters
7,4.5,Church of the Ascension,Sights & Landmarks Churches & Cathedrals
95,4.5,Hispanic Society of America,Museums Specialty Museums
4,4.5,John Street United Methodist Church,Sights & Landmarks Churches & Cathedrals
12,3.5,Lasker Rink and Pool,Fun & Games Sports Complexes
18,4,Church of St. Michael,Sights & Landmarks Churches & Cathedrals
3,4.5,Langston Hughes House,Sights & Landmarks Historic Sites
4,4.5,Guardians Superhero Sculptures,Sights & Landmarks Monuments & Statues
6,4,Bleecker Street Playground,Fun & Games Nature & Parks
26,4,National Academy of Design Museum,Museums Specialty Museums
8,5,St. Jean Baptiste Roman Catholic Church,Sights & Landmarks Churches & Cathedrals
12,4,Christ Church,Sights & Landmarks Churches & Cathedrals
25,4,Forbidden Broadway,Concerts & Shows Theaters
3,5,Delacorte Clock,Sights & Landmarks Monuments & Statues
12,4,Imagination Playground,Fun & Games Nature & Parks
8,4,The Africa Center,Museums Specialty Museums
10,3.5,Verdi Square,Sights & Landmarks Scenic Walking Areas
11,4,No. 7 Washington Square,Sights & Landmarks Historic Sites
8,5,More and More Antiques,Shopping Antique Stores
11,4.5,Poets House,Traveler Resources Libraries
8,4.5,Ebenezer Gospel Tabernacle,Sights & Landmarks Churches & Cathedrals
5,4,Giuseppe Garibaldi Statue,Sights & Landmarks Monuments & Statues
9,4,The Ansonia,Sights & Landmarks Points of Interest & Landmarks
8,4,Grolier Club,Traveler Resources Libraries
4,4.5,6BC Botanical Garden,Nature & Parks Gardens
8,3.5,Pulitzer Fountain,Sights & Landmarks Fountains
18,4,Metro Pictures,Museums Shopping
10,4.5,The Bard Graduate Center,Museums Shopping
13,4,Hallett Nature Sanctuary,Nature & Parks Nature & Wildlife Areas
21,4,Monumento a Cristoforo Colombo,Sights & Landmarks Monuments & Statues
9,4.5,The New York Mosque,Sights & Landmarks Sacred & Religious Sites
3,4.5,Canyon of Heroes,Sights & Landmarks Points of Interest & Landmarks
9,4,Beresford,Sights & Landmarks Architectural Buildings
11,4,National Park Service - Information Center on Liberty Island,Traveler Resources Visitor Centers
5,4.5,Holy Trinity Greek Orthodox Cathedral,Sights & Landmarks Churches & Cathedrals
6,4.5,Church of The Most Precious Blood,Sights & Landmarks Sacred & Religious Sites
17,4,The Immigrants,Sights & Landmarks Monuments & Statues
38,4,Attractions4Us New York City,Sights & Landmarks Historic Walking Areas
9,4.5,New York Society Library,Traveler Resources Libraries
12,4,Fantasy Forest Amusement Park at the Flushing Meadows Carousel,Water & Amusement Parks Theme Parks
8,4.5,53rd Street Public Library,Sights & Landmarks Government Buildings
4,5,Church of St. Francis Xavier,Sights & Landmarks Churches & Cathedrals
12,4.5,Skirball Center for the Performing Arts at NYU,Concerts & Shows Theaters
4,5,"New Era Factory Outlet, Inc.",Shopping Factory Outlets
23,4,Life Underground,Sights & Landmarks Monuments & Statues
5,4.5,Miriam and Ira D. Wallach Art Gallery,Museums Shopping
9,3.5,79th Street Boat Basin,Nature & Parks Marinas
23,4,Cooper Union Foundation Building,Sights & Landmarks Historic Sites
15,4.5,New York Theatre Experience,Concerts & Shows Theaters
12,4.5,Mint Theater Company,Concerts & Shows Theaters
25,4.5,Peace Fountain - Friedensbrunnen,Sights & Landmarks Fountains
4,4.5,Taglialatella Galleries,Museums Shopping
27,3.5,Marcus Garvey Memorial Park,Fun & Games Nature & Parks
10,3.5,Antiques Flea and Farmers' Market at P.S. 183,Shopping Flea & Street Markets
8,4,One Chase Manhattan Plaza,Sights & Landmarks Architectural Buildings
7,4,The Drawing Center,Museums Shopping
9,4.5,St. Luke's Place,Sights & Landmarks Historic Sites
3,4.5,The Northern Dispensary,Sights & Landmarks Points of Interest & Landmarks
16,4,New York City Opera,Concerts & Shows Operas
21,4.5,Institute for the Study of the Ancient World,Museums History Museums
3,5,Greater Zion Hill Baptist Church,Sights & Landmarks Churches & Cathedrals
12,4,The Lowline Lab,Nature & Parks Gardens
5,4.5,New York City Aids Memorial,Sights & Landmarks Historic Sites
8,4.5,New York Grand Opera,Concerts & Shows Operas
40,4,Barrymore Theater,Concerts & Shows Sights & Landmarks
9,4.5,Salmagundi Museum of American Art,Shopping Museums
9,4.5,Sniffen Court Historic District,Sights & Landmarks Historic Sites
19,4.5,Magnet Theater,Concerts & Shows Theaters
12,3.5,Father Duffy statue,Sights & Landmarks Monuments & Statues
9,4,Larry's Freewheeling,Nature & Parks Outdoor Activities
9,4,Church of Our Lady of Guadalupe,Sights & Landmarks Churches & Cathedrals
6,5,Maritime Industry Museum at Fort Schuyler,Sights & Landmarks Museums
9,4.5,China Institute,Museums Shopping
12,3.5,Throgs Neck Bridge,Sights & Landmarks Bridges
9,4.5,Stephen A. Schwarzman Building,Sights & Landmarks Architectural Buildings
19,4.5,Playwrights Horizons,Concerts & Shows Theaters
9,4,City Cinema 123,Concerts & Shows Theaters
18,3.5,51-53 Christopher Street,Sights & Landmarks Historic Sites
10,4.5,Merkin Concert Hall,Concerts & Shows Symphonies
10,3.5,The Broken Kilometer,Museums Specialty Museums
16,4,Soldiers' and Sailors Monument New York,Sights & Landmarks Points of Interest & Landmarks
10,4,Castle Williams,Sights & Landmarks Castles
8,4.5,Ancient Playground,Nature & Parks Fun & Games
2,5,Greater Tabernacle Baptist Church,Sights & Landmarks Sacred & Religious Sites
61,4,Tweed Courthouse,Sights & Landmarks Government Buildings
5,5,The Lotus Garden,Nature & Parks Gardens
3,5,Church of St Charles Borromeo,Sights & Landmarks Churches & Cathedrals
11,4,Lady Liberty,Sights & Landmarks Monuments & Statues
4,3.5,Ralph Kramden Statue,Sights & Landmarks Monuments & Statues
3,5,CIMA - Center for Italian Modern Art,Museums Specialty Museums
7,4.5,Cadillac House,Sights & Landmarks Points of Interest & Landmarks
8,3.5,Pier 54,Sights & Landmarks Piers & Boardwalks
9,4.5,Museum of Reclaimed Urban Space (MoRUS),Museums Specialty Museums
8,4,Sheen Center,Concerts & Shows Theaters
2,4.5,Wall Street Court,Sights & Landmarks Points of Interest & Landmarks
3,4,Theater District Shopping Court,Shopping Flea & Street Markets
7,2.5,Museum of Feelings,Museums Specialty Museums
17,4,Second Stage Theater,Concerts & Shows Theaters
2,5,Greater Central Baptist Church,Sights & Landmarks Churches & Cathedrals
1,5,Dream House,Museums Shopping
8,4.5,Theater  for the New City,Concerts & Shows Theaters
6,4.5,St. Nicholas Russian Orthodox Cathedral,Sights & Landmarks Churches & Cathedrals
10,4,Holy Cross Church,Sights & Landmarks Churches & Cathedrals
8,4.5,Museo de la Estatua de la Libertad,Museums History Museums
10,5,Tiles For America,Sights & Landmarks Shopping
6,4.5,Irish Arts Center,Sights & Landmarks Points of Interest & Landmarks
4,5,America's Response Monument,Sights & Landmarks Monuments & Statues
7,4.5,The San Remo,Sights & Landmarks Points of Interest & Landmarks
11,4.5,La Mama E.T.C.,Concerts & Shows Theaters
5,3.5,Holy Innocents Church,Sights & Landmarks Churches & Cathedrals
4,5,Seidenberg Antiques,Shopping Museums
7,4,Astor Place,Sights & Landmarks Historic Sites
4,4,Hell Gate Bridge,Sights & Landmarks Historic Sites
18,4,Ukrainian Museum,Museums Specialty Museums
5,4,Our Lady of Victory Church,Sights & Landmarks Churches & Cathedrals
3,4.5,Stiles Farmers Market,Shopping Food & Drink
3,3.5,Matthew Marks Gallery,Museums Shopping
5,3.5,Logos Bookstore,Traveler Resources Libraries
6,4,AFA Gallery,Museums Art Museums
5,4,Triumph of the Human Spirit,Nature & Parks Sights & Landmarks
6,4,Spiedie Fest & Balloon Rally,Events Cultural Events
1,4,The Sheffield's House (The Nanny),Sights & Landmarks Points of Interest & Landmarks
1,5,African-American Wax Museum of Harlem,Museums History Museums
2,4,Allouche Gallery,Museums Shopping
8,4,6 1/2 Avenue,Sights & Landmarks Points of Interest & Landmarks
8,4,DiMenna Children's History Museum,Museums Children's Museums
10,4,Theatre 80 Saint Marks,Concerts & Shows Theaters
21,4.5,Onassis Cultural Center New York,Museums Specialty Museums
49,4.5,Foxwoods Theater,Concerts & Shows Theaters
11,3.5,Statue of Lenin,Sights & Landmarks Points of Interest & Landmarks
7,4,Liz Christy Bowery Houston Community Garden,Nature & Parks Gardens
4,5,Frantiques Gallery,Museums Shopping
1,5,The Chanin Building,Sights & Landmarks Architectural Buildings
8,4.5,Heather Garden,Nature & Parks Gardens
7,4.5,Rohrbachs Railroad Street Brewery,Food & Drink Breweries
13,3,CSI: The Experience,Museums Specialty Museums
8,4,The Pearl Theatre,Concerts & Shows Theaters
17,4.5,Theatre At St. Clement's,Concerts & Shows Theaters
4,4.5,Church of the Intercession,Sights & Landmarks Churches & Cathedrals
5,4,General Worth Square,Sights & Landmarks Scenic Walking Areas
1,4,Amster Yard,Sights & Landmarks Points of Interest & Landmarks
501,4,Belvedere Castle,Sights & Landmarks Castles
434,4,Federal Hall,Sights & Landmarks Historic Sites
298,3.5,New Museum of Contemporary Art,Museums Art Museums
39,4.5,The Village Halloween Parade,Events Cultural Events
61,4.5,Museum Mile,Sights & Landmarks Historic Walking Areas
92,4.5,Brooks Atkinson Theatre,Concerts & Shows Theaters
188,4,Lyceum Theatre,Concerts & Shows Theaters
386,4,Imperial Theatre,Concerts & Shows Theaters
110,4.5,East Village,Sights & Landmarks Neighborhoods
153,4,Lower East Side,Sights & Landmarks Neighborhoods
